Size: 8192
Time: 66691 microseconds
Result;Time;I/0s
6;18;10
13;11;7
15;23;15
9;17;10
12;11;7
10;22;14
8;24;13
9;20;12
13;20;12
4;24;16
9;17;11
9;22;14
10;31;20
17;23;15
7;18;12
13;27;18
12;32;21
8;29;16
7;31;21
6;19;13
12;27;18
12;30;20
10;29;19
15;27;17
17;30;21
17;23;15
8;26;17
11;36;22
13;30;21
8;15;9
12;30;19
16;23;14
16;19;12
14;28;17
7;31;20
3;13;8
5;24;17
11;41;24
12;16;10
11;22;14
9;36;24
11;28;18
11;23;15
8;36;24
5;13;8
10;28;19
5;27;18
9;27;14
11;27;18
3;28;19
9;25;17
6;33;21
8;28;18
9;23;15
8;27;18
10;33;21
10;38;21
14;30;19
12;25;16
17;23;14
10;30;19
8;30;18
11;30;19
11;21;13
17;28;17
14;28;14
10;31;19
8;29;18
3;15;9
11;36;17
9;18;10
4;15;9
11;28;17
5;23;14
8;32;16
9;27;16
7;21;14
13;26;16
9;23;14
12;18;11
9;25;15
9;24;15
6;23;14
13;20;12
8;28;17
11;21;13
17;19;11
12;26;15
7;27;11
9;31;13
6;26;11
8;20;8
12;31;12
15;19;8
14;25;10
12;34;13
7;31;12
8;31;12
10;27;11
6;23;9
