Size: 131072
Time: 7048703456 microseconds
Result;Time;I/0s
101;19;9
187;27;13
172;19;10
164;24;13
158;33;14
178;24;13
168;19;10
178;28;15
185;23;13
192;24;13
166;22;12
173;31;16
171;26;14
175;26;14
184;27;15
165;25;13
151;31;18
184;27;14
155;31;16
169;27;15
159;30;16
158;28;15
179;30;16
113;19;10
173;39;19
169;29;16
176;26;13
155;31;16
151;24;13
163;27;15
150;26;15
161;30;17
168;27;15
177;28;15
182;36;19
172;27;14
168;37;22
190;30;16
177;31;17
155;35;20
172;30;17
161;34;19
148;38;19
141;33;18
179;33;19
160;30;17
155;34;18
158;33;19
171;29;16
156;33;18
164;26;11
102;19;10
164;36;20
180;32;18
172;33;18
168;34;18
123;30;17
167;39;21
154;38;21
119;18;9
157;20;10
169;28;15
185;27;14
160;37;20
158;28;15
181;23;12
154;30;17
164;27;14
187;34;16
165;32;18
175;22;12
148;31;18
168;26;14
159;21;11
151;27;14
146;22;12
159;25;15
155;20;10
173;33;17
91;18;10
147;19;10
186;26;14
170;25;14
155;24;13
165;27;14
160;24;13
154;28;16
168;30;17
162;26;15
159;27;12
168;21;11
162;24;13
168;24;13
160;20;10
188;23;12
167;22;12
168;22;12
171;21;11
145;16;8
112;18;10
